Age Group,Gender,Income Level
25-34,Female,Middle
65+,Male,Middle
45-54,Male,Low
35-44,Male,Middle
25-34,Male,Middle
25-34,Male,High
18-24,Female,High
55-64,Female,Low
45-54,Female,Middle
45-54,Female,Low
18-24,Female,Middle
65+,Female,Low
55-64,Female,Middle
25-34,Male,Middle
25-34,Male,Middle
25-34,Male,Middle
25-34,Female,Middle
35-44,Female,Middle
35-44,Male,Low
25-34,Female,Middle
45-54,Male,Low
18-24,Female,Middle
25-34,Male,Middle
25-34,Male,Middle
35-44,Female,Low
55-64,Male,Middle
25-34,Male,High
35-44,Male,Middle
35-44,Female,Middle
18-24,Female,Middle
45-54,Male,Low
25-34,Female,Middle
18-24,Female,Middle
65+,Male,Low
65+,Male,Low
55-64,Male,Low
25-34,Male,Middle
18-24,Female,High
45-54,Male,Low
35-44,Female,Middle
18-24,Female,Low
35-44,Male,High
18-24,Female,Low
65+,Male,Middle
25-34,Female,Middle
45-54,Female,Middle
25-34,Female,Middle
35-44,Female,Middle
35-44,Male,Middle
25-34,Female,Low
65+,Female,Low
55-64,Female,Middle
65+,Female,Low
55-64,Female,Low
35-44,Male,Middle
65+,Male,High
18-24,Female,Middle
25-34,Male,Low
18-24,Female,Low
25-34,Female,High
25-34,Male,Low
25-34,Male,Low
55-64,Female,Middle
25-34,Male,Middle
25-34,Female,Middle
35-44,Male,Low
18-24,Female,Low
55-64,Male,High
18-24,Female,Low
65+,Male,Middle
55-64,Female,Middle
25-34,Male,Middle
18-24,Female,Middle
55-64,Female,Low
45-54,Male,Middle
45-54,Male,High
55-64,Male,High
18-24,Female,Low
25-34,Female,Low
18-24,Female,High
55-64,Male,Middle
45-54,Male,High
25-34,Female,Low
18-24,Female,Middle
25-34,Female,Middle
25-34,Male,Middle
45-54,Female,Middle
45-54,Male,Low
55-64,Male,Middle
35-44,Female,Low
18-24,Female,Middle
45-54,Female,High
55-64,Male,Middle
35-44,Male,High
55-64,Female,Low
35-44,Female,Middle
35-44,Male,High
35-44,Male,Low
18-24,Male,Low
18-24,Female,Middle
18-24,Male,Low
45-54,Male,Middle
25-34,Male,High
35-44,Male,Middle
65+,Male,Low
25-34,Female,Middle
35-44,Male,Middle
55-64,Female,Low
25-34,Male,Middle
18-24,Female,Middle
25-34,Female,Middle
25-34,Female,Low
65+,Female,Middle
55-64,Male,Low
45-54,Male,Low
55-64,Female,High
55-64,Female,Middle
25-34,Female,Low
55-64,Female,Low
35-44,Female,Low
55-64,Male,Low
55-64,Male,Low
25-34,Female,Low
18-24,Female,Middle
25-34,Male,Middle
35-44,Female,Middle
55-64,Male,Middle
55-64,Female,Low
18-24,Male,High
35-44,Male,High
35-44,Female,High
25-34,Male,High
18-24,Female,High
25-34,Female,Middle
65+,Female,Low
25-34,Male,Middle
35-44,Male,Middle
45-54,Male,Middle
25-34,Female,Middle
65+,Female,Low
65+,Female,Middle
25-34,Female,High
35-44,Female,Middle
25-34,Female,Middle
25-34,Male,Low
18-24,Female,Middle
45-54,Male,High
35-44,Female,Middle
18-24,Female,Middle
25-34,Female,Middle
65+,Male,Middle
25-34,Male,Low
18-24,Male,Middle
35-44,Male,Middle
65+,Male,Middle
25-34,Female,Middle
45-54,Female,High
55-64,Male,Low
25-34,Male,High
45-54,Male,Low
25-34,Female,Middle
45-54,Female,Low
45-54,Female,Middle
35-44,Female,Middle
18-24,Female,Low
55-64,Female,Middle
25-34,Male,High
25-34,Female,Low
18-24,Male,Middle
35-44,Female,Middle
45-54,Male,Middle
18-24,Female,Low
35-44,Female,Low
25-34,Female,Low
45-54,Female,Low
25-34,Male,Low
45-54,Male,Middle
25-34,Male,High
65+,Male,High
18-24,Female,Middle
25-34,Male,Low
18-24,Female,Low
65+,Female,Middle
55-64,Female,Low
25-34,Male,Middle
45-54,Female,Middle
55-64,Female,Middle
35-44,Female,Middle
35-44,Female,High
25-34,Female,Middle
18-24,Male,Middle
55-64,Female,High
65+,Male,High
45-54,Male,Middle
25-34,Male,Middle
25-34,Male,Middle
45-54,Male,High
55-64,Male,High
55-64,Female,Low
55-64,Female,Middle
45-54,Female,Middle
18-24,Male,Middle
25-34,Male,Low
55-64,Female,High
45-54,Male,Middle
18-24,Male,High
18-24,Female,High
45-54,Male,Middle
18-24,Female,Middle
25-34,Female,Middle
35-44,Male,Low
45-54,Male,Middle
45-54,Female,Low
25-34,Male,Middle
45-54,Male,Low
25-34,Female,Low
25-34,Male,Low
45-54,Female,Low
45-54,Female,Middle
55-64,Male,Middle
45-54,Male,Middle
35-44,Male,Low
18-24,Male,Low
25-34,Male,Low
25-34,Female,Low
25-34,Male,High
65+,Female,Low
25-34,Female,Middle
55-64,Female,Low
45-54,Female,Low
55-64,Male,Middle
35-44,Female,Middle
35-44,Female,Low
35-44,Male,Low
25-34,Male,Middle
45-54,Female,Low
25-34,Male,Low
18-24,Male,High
45-54,Male,Middle
25-34,Male,Middle
65+,Female,Middle
65+,Female,Middle
65+,Female,Middle
25-34,Male,Middle
18-24,Male,Middle
65+,Female,Low
35-44,Male,Middle
65+,Male,Middle
65+,Female,High
55-64,Male,Middle
25-34,Female,Middle
25-34,Male,Low
55-64,Male,Middle
25-34,Male,Low
25-34,Female,Middle
35-44,Female,Low
65+,Female,Middle
45-54,Female,Low
35-44,Male,Middle
18-24,Female,High
45-54,Male,Low
65+,Female,Middle
18-24,Male,Middle
35-44,Female,Low
55-64,Male,Middle
45-54,Male,Low
45-54,Female,Middle
45-54,Male,Middle
25-34,Male,Middle
25-34,Male,Middle
55-64,Male,Low
55-64,Female,Low
55-64,Female,Middle
65+,Female,Middle
35-44,Female,High
35-44,Male,High
55-64,Female,High
45-54,Male,Middle
45-54,Male,Middle
55-64,Female,Middle
55-64,Male,Middle
25-34,Female,Low
25-34,Male,High
18-24,Female,High
35-44,Female,Middle
18-24,Female,Low
35-44,Female,Middle
35-44,Female,High
25-34,Male,High
35-44,Female,Low
18-24,Male,Low
18-24,Female,High
55-64,Female,Middle
25-34,Female,Middle
18-24,Male,High
35-44,Male,Low
55-64,Female,Middle
25-34,Male,Low
45-54,Male,Middle
18-24,Male,High
18-24,Female,Middle
35-44,Female,High
35-44,Male,Middle
45-54,Male,Middle
45-54,Male,Low
65+,Female,Middle
35-44,Female,Middle
25-34,Male,Low
55-64,Male,Middle
25-34,Male,Middle
35-44,Female,Middle
18-24,Female,Middle
18-24,Male,Middle
65+,Male,Low
55-64,Male,Low
45-54,Female,Middle
35-44,Male,Middle
25-34,Female,Low
25-34,Female,High
25-34,Male,Middle
35-44,Male,Middle
45-54,Male,Low
45-54,Female,Middle
25-34,Female,Middle
65+,Female,Middle
45-54,Female,Middle
35-44,Male,High
45-54,Female,Middle
35-44,Female,Low
25-34,Male,Middle
25-34,Female,Middle
55-64,Female,Middle
18-24,Female,Low
18-24,Female,Low
18-24,Female,High
18-24,Female,Middle
55-64,Male,High
45-54,Male,Middle
35-44,Female,Middle
18-24,Male,Middle
35-44,Male,High
35-44,Male,Middle
25-34,Male,Middle
35-44,Female,Low
25-34,Female,Middle
45-54,Male,Middle
45-54,Male,Low
18-24,Male,Low
25-34,Female,Middle
45-54,Female,Low
35-44,Male,Low
55-64,Female,Middle
45-54,Female,High
25-34,Female,Middle
18-24,Female,Low
45-54,Male,Low
18-24,Female,Middle
35-44,Male,Middle
65+,Female,High
35-44,Female,Middle
25-34,Female,Middle
45-54,Female,Low
35-44,Male,Middle
35-44,Female,Low
65+,Female,High
25-34,Female,Middle
65+,Male,Middle
65+,Male,Low
25-34,Male,Low
18-24,Female,Middle
18-24,Female,Low
18-24,Male,Middle
18-24,Female,Low
45-54,Female,Middle
18-24,Female,High
25-34,Female,Middle
55-64,Female,Middle
18-24,Female,Low
55-64,Male,Low
25-34,Female,Middle
18-24,Female,Middle
45-54,Female,Middle
45-54,Female,Low
55-64,Female,Low
45-54,Male,Low
55-64,Male,High
25-34,Male,Low
25-34,Male,Middle
55-64,Female,Low
55-64,Female,Middle
65+,Male,Middle
35-44,Male,High
25-34,Female,High
55-64,Male,Middle
25-34,Female,High
65+,Female,High
55-64,Female,High
35-44,Male,High
55-64,Male,Low
55-64,Female,Middle
18-24,Female,Low
65+,Male,Low
35-44,Female,High
55-64,Male,Middle
25-34,Female,Middle
55-64,Male,High
25-34,Female,High
18-24,Male,High
65+,Male,Low
18-24,Male,Low
25-34,Male,Middle
65+,Female,Low
65+,Female,Low
35-44,Male,Middle
45-54,Male,Middle
35-44,Female,Middle
25-34,Female,Middle
25-34,Female,Middle
45-54,Male,Low
55-64,Male,Low
55-64,Female,Middle
55-64,Male,Middle
18-24,Female,Middle
35-44,Male,Low
18-24,Female,High
35-44,Male,Middle
35-44,Female,Middle
55-64,Female,Middle
25-34,Female,High
18-24,Male,Middle
18-24,Female,Middle
55-64,Female,High
45-54,Female,Middle
18-24,Female,Middle
18-24,Female,Middle
45-54,Female,Middle
18-24,Male,Low
55-64,Female,Middle
45-54,Female,High
18-24,Male,High
18-24,Male,Middle
65+,Male,Middle
25-34,Female,Low
25-34,Female,High
55-64,Female,High
65+,Female,Middle
65+,Male,High
55-64,Male,Middle
25-34,Male,Middle
18-24,Male,Low
55-64,Male,Middle
35-44,Male,Middle
35-44,Female,Middle
65+,Female,Middle
18-24,Female,High
35-44,Female,Low
18-24,Female,Middle
35-44,Male,Middle
18-24,Female,Middle
18-24,Female,Middle
18-24,Male,Low
45-54,Male,Low
45-54,Female,Middle
35-44,Male,Middle
65+,Female,Low
25-34,Female,Middle
25-34,Male,Middle
55-64,Male,Middle
25-34,Male,High
65+,Male,Low
18-24,Male,Low
65+,Female,Middle
18-24,Male,Middle
55-64,Female,Middle
35-44,Male,High
65+,Female,High
18-24,Male,High
35-44,Male,Middle
65+,Female,Middle
35-44,Female,Middle
45-54,Male,Low
45-54,Female,Middle
35-44,Male,Low
45-54,Female,High
35-44,Male,Middle
65+,Male,Middle
18-24,Female,Middle
25-34,Female,Low
65+,Male,Low
55-64,Female,Middle
35-44,Female,Low
45-54,Male,Middle
25-34,Female,High
25-34,Male,High
35-44,Female,Middle
25-34,Female,Low
35-44,Female,High
18-24,Male,High
65+,Male,Low
65+,Male,Middle
45-54,Male,Low
35-44,Male,High
25-34,Female,High
55-64,Male,Low
45-54,Male,High
25-34,Female,Middle
65+,Male,High
55-64,Female,Middle
65+,Male,High
45-54,Female,Low
45-54,Male,Middle
35-44,Male,Low
65+,Female,High
